name,type,degree
The Sorcerer's Apprentice,电影,19
November,电影,19
Batman Begins,电影,19
States,关键词,19
Cheri,电影,19
Spike Lee,演员,19
Oblivion,电影,19
Return to Never Land,电影,19
The Brothers Bloom,电影,19
End of Days,电影,19
Captive,电影,19
Get Smart,电影,19
Spider-Man,电影,19
How to Train Your Dragon 2,电影,19
Oliver Twist,电影,19
Fantastic 4: Rise of the Silver Surfer,电影,19
Indian,关键词,19
Creed,电影,19
Safe,电影,19
The Baader Meinhof Complex,电影,19
Puss in Boots,电影,19
Conan the Destroyer,电影,19
Space Cowboys,电影,19
Narc,电影,19
Paul Giamatti,演员,19
Dylan Dog: Dead of Night,电影,19
"The Beast from 20,000 Fathoms",电影,19
Batman Forever,电影,19
Prison,电影,19
Green Zone,电影,19
Inescapable,电影,19
Smilla's Sense of Snow,电影,19
A Monster in Paris,电影,19
Transformers: Age of Extinction,电影,19
World War Z,电影,19
Alex Cross,电影,19
Val Kilmer,演员,19
The Square,电影,19
Pearl Harbor,电影,19
Jon Voight,演员,19
Driven,电影,19
Garfield,电影,19
The Mortal Instruments: City of Bones,电影,19
Batman Returns,电影,19
The Pirates! In an Adventure with Scientists!,电影,19
The Fan,电影,19
Rosario Dawson,演员,19
Gun Shy,电影,19
Planet of the Apes,电影,19
Sweet Charity,电影,19
X-Men,电影,19
Spaced Invaders,电影,19
Carlos,电影,19
Zulu,电影,19
The Losers,电影,19
Ronin,电影,19
Vince Vaughn,演员,19
Bizarre,电影,19
The Iron Giant,电影,19
Josh Brolin,演员,19
Scrooged,电影,19
Volcano,电影,19
Gandhi,电影,19
Aimee & Jaguar,电影,19
The Dark Knight Rises,电影,19
Alive,电影,18
Dragon Wars: D-War,电影,18
Warlock: The Armageddon,电影,18
Conan the Barbarian,电影,18
X-Men: The Last Stand,电影,18
Knowing,电影,18
The Brothers McMullen,电影,18
"Good Morning, Vietnam",电影,18
Thunder and the House of Magic,电影,18
Without a Paddle,电影,18
Lost Souls,电影,18
The Grandmaster,电影,18
Solomon and Sheba,电影,18
Wall Street,电影,18
Queen Latifah,演员,18
Men in Black,电影,18
Evil Words,电影,18
Shanghai Knights,电影,18
The Host,电影,18
Kurt Russell,演员,18
Babe: Pig in the City,电影,18
The Matrix Reloaded,电影,18
They Will Have to Kill Us First,电影,18
Volver,电影,18
Danny,关键词,18
Robin and Marian,电影,18
Soul Surfer,电影,18
March or Die,电影,18
Sky Captain and the World of Tomorrow,电影,18
Sliding Doors,电影,18
Kansas City,电影,18
The Brothers,电影,18
"Batman: The Dark Knight Returns, Part 2",电影,18
Big Miracle,电影,18
Mama,电影,18
Top Gun,电影,18
Machine Gun McCain,电影,18
Bill,关键词,18
Jindabyne,电影,18
Hitch,电影,18
Quigley Down Under,电影,18
Monte Carlo,电影,18
Mighty Joe Young,电影,18
Airlift,电影,18
Kung Fu Hustle,电影,18
Fantasia 2000,电影,18
Fantasia,电影,18
The Warlords,电影,18
Channing Tatum,演员,18
Pride and Glory,电影,18
Maleficent,电影,18
Monster House,电影,18
Ida,电影,18
Monster,电影,18
Somewhere in Time,电影,18
The NeverEnding Story,电影,18
Lake Placid,电影,18
Under the Rainbow,电影,18
In the Land of Women,电影,18
"O Brother, Where Art Thou?",电影,18
The Wraith,电影,18
Lucky Numbers,电影,18
Rock Star,电影,18
Night at the Museum,电影,18
The Great Escape,电影,18
Topaz,电影,18
Beyond Borders,电影,18
The Spirit,电影,18
Valiant,电影,18
28 Days Later,电影,18
The Bourne Ultimatum,电影,18
Spy Kids,电影,18
The Devil Wears Prada,电影,18
Thank You for Smoking,电影,18
Bloody Sunday,电影,18
8.1分,评分值,18
Elizabeth Banks,演员,18
The Matador,电影,18
Shrek Forever After,电影,18
Inchon,电影,18
Confessions of a Dangerous Mind,电影,18
The Red Violin,电影,18
Soldier,电影,18
Death Race,电影,18
Steve Zahn,演员,18
Howards End,电影,18
Pain & Gain,电影,18
The Land Girls,电影,18
Nancy Drew,电影,18
Star Trek: First Contact,电影,18
The Barbarians,电影,18
Flight of the Phoenix,电影,18
The Oogieloves in the Big Balloon Adventure,电影,18
The Warrior's Way,电影,18
Steamboy,电影,18
Windtalkers,电影,18
Stolen Summer,电影,18
Monkeybone,电影,18
Love & Basketball,电影,18
28 Weeks Later,电影,18
Lawrence of Arabia,电影,18
The Count of Monte Cristo,电影,18
Alvin and the Chipmunks: Chipwrecked,电影,18
Stake Land,电影,18
Instinct,电影,18
Greg Kinnear,演员,18
The Sisterhood of the Traveling Pants 2,电影,18
Restless,电影,18
Disaster Movie,电影,18
BloodRayne,电影,18
